nummer,reeks,datum,thuisploeg,bezoekers,aantal_thuis,aantal_bezoekers,scheidsrechter,jury,locatie
V010001,TOPKLASSE,2016-08-21 15:30:00,FLORIANT,AKC/Luma,19 ,16,, ,Floriant
V010002,TOPKLASSE,2016-08-21 15:30:00,KWIK,BORGERHOUT/GW,19 ,18,, ,Kwik
V010003,TOPKLASSE,2016-08-21 15:30:00,BOECKENBERG,MINERVA,22 ,14,, ,Boeckenberg - Sportcenter
V010004,TOPKLASSE,2016-08-21 15:30:00,MEEUWEN,SCALDIS,18 ,18,, ,Meeuwen
V010030,PROMOKLASSE,2016-08-21 15:30:00,RIVIERA,LEUVEN,18 ,13,, ,Riviera
V010031,PROMOKLASSE,2016-08-20 20:30:00,TEMSE,VOORWAARTS,13 ,19,, ,Temse
V010032,PROMOKLASSE,2016-08-21 15:30:00,SIKOPI,ASKC,29 ,10,, ,Sikopi
V010033,PROMOKLASSE,2016-08-21 15:30:00,VOBAKO,PUTSE,9 ,12,, ,Vobako
V010040,TOPKLASSE res,2016-08-21 14:00:00,FLORIANT RES,AKC/Luma RES,7 ,20,, ,Floriant
V010041,TOPKLASSE res,2016-08-21 14:00:00,KWIK RES,BORGERHOUT/GW RES,23 ,14,, ,Kwik
V010042,TOPKLASSE res,2016-08-21 14:00:00,BOECKENBERG RES,MINERVA RES,12 ,8,, ,Boeckenberg - Sportcenter
V010043,TOPKLASSE res,2016-08-21 14:00:00,MEEUWEN RES,SCALDIS RES,18 ,7,, ,Meeuwen
V010050,PROMOKLASSE res,2016-08-21 14:00:00,RIVIERA RES,LEUVEN RES,12 ,9,, ,Riviera
V010051,PROMOKLASSE res,2016-08-20 18:45:00,TEMSE RES,VOORWAARTS RES,7 ,15,, ,Temse
V010052,PROMOKLASSE res,2016-08-21 14:00:00,SIKOPI RES,ASKC RES,17 ,8,, ,Sikopi
V010053,PROMOKLASSE res,2016-08-21 14:00:00,VOBAKO RES,PUTSE RES,4 ,11,, ,Vobako
V010130,1ste gew TOPKLASSE ,2016-08-21 12:40:00,FLORIANT 2,AKC/Luma 2,10 ,11,, ,Floriant
V010131,1ste gew TOPKLASSE ,2016-08-21 00:00:00,VRIJ,BORGERHOUT/GW 2,,,, ,
V010132,1ste gew TOPKLASSE ,2016-08-21 12:40:00,BOECKENBERG 2,MINERVA 2,9 ,3,, ,Boeckenberg - Sportcenter
V010133,1ste gew TOPKLASSE ,2016-08-21 00:00:00,MEEUWEN 2,VRIJ,,,, ,
V010140,1ste gew PROMOKLASSE,2016-08-21 12:40:00,RIVIERA 2,LEUVEN 2,14 ,3,, ,Riviera
V010141,1ste gew PROMOKLASSE,2016-08-20 17:30:00,TEMSE 2,VOORWAARTS 2,16 ,12,, ,Temse
V010142,1ste gew PROMOKLASSE,2016-08-21 12:40:00,SIKOPI 2,ASKC 2,11 ,11,, ,Sikopi
V010143,1ste gew PROMOKLASSE,2016-08-21 12:40:00,VOBAKO 2,PUTSE 2,5 ,14,, ,Vobako
V020001,TOPKLASSE,2016-08-28 15:30:00,SCALDIS,BOECKENBERG,21 ,12,, ,Scaldis
V020002,TOPKLASSE,2016-08-28 15:30:00,MINERVA,BORGERHOUT/GW,19 ,18,, ,Minerva
V020003,TOPKLASSE,2016-08-28 15:30:00,MEEUWEN,FLORIANT,9 ,18,, ,Meeuwen
V020004,TOPKLASSE,2016-08-28 15:30:00,KWIK,AKC/Luma,16 ,17,, ,Kwik
V020030,PROMOKLASSE,2016-08-28 15:30:00,PUTSE,SIKOPI,18 ,22,, ,Putse
V020031,PROMOKLASSE,2016-08-28 14:00:00,ASKC,VOORWAARTS,10 ,21,, ,ASKC
V020032,PROMOKLASSE,2016-08-28 15:30:00,RIVIERA,VOBAKO,16 ,13,, ,Riviera
V020033,PROMOKLASSE,2016-08-28 15:30:00,LEUVEN,TEMSE,10 ,10,, ,Leuven
V020040,TOPKLASSE res,2016-08-28 14:00:00,SCALDIS RES,BOECKENBERG RES,15 ,10,, ,Scaldis
V020041,TOPKLASSE res,2016-08-28 14:00:00,MINERVA RES,BORGERHOUT/GW RES,9 ,11,, ,Minerva
V020042,TOPKLASSE res,2016-08-28 14:00:00,MEEUWEN RES,FLORIANT RES,12 ,7,, ,Meeuwen
