nummer,datum,thuisploeg,bezoekers,aantal_thuis,aantal_bezoekers,scheidsrechter,jury,locatie
V010130,2016-08-21 12:40:00,FLORIANT 2,AKC/Luma 2,10 ,11,, ,Floriant
V010040,2016-08-21 14:00:00,FLORIANT RES,AKC/Luma RES,7 ,20,, ,Floriant
V010001,2016-08-21 15:30:00,FLORIANT,AKC/Luma,19 ,16,, ,Floriant
V020133,2016-08-28 00:00:00,VRIJ,AKC/Luma 2,,,, ,
V020043,2016-08-28 14:00:00,KWIK RES,AKC/Luma RES,18 ,8,, ,Kwik
V020004,2016-08-28 15:30:00,KWIK,AKC/Luma,16 ,17,, ,Kwik
V030272,2016-09-04 10:00:00,MINERVA 4,AKC/Luma 5,5 ,8,, ,Minerva
V030200,2016-09-04 10:30:00,RIVIERA 3,AKC/Luma 3,16 ,19,, ,Riviera
V030210,2016-09-04 11:30:00,FLORIANT 3,AKC/Luma 4,12 ,5,, ,Floriant
V030130,2016-09-04 12:40:00,MINERVA 2,AKC/Luma 2,12 ,16,, ,Minerva
V030040,2016-09-04 14:00:00,MINERVA RES,AKC/Luma RES,7 ,12,, ,Minerva
V030001,2016-09-04 15:30:00,MINERVA,AKC/Luma,14 ,18,, ,Minerva
V040203,2016-09-11 10:00:00,AKC/Luma 3,KWIK 2,,,, ,AKC
V040272,2016-09-11 10:00:00,AKC/Luma 5,RIVIERA 5,,,, ,AKC
V040213,2016-09-11 11:00:00,AKC/Luma 4,KWIK 3,,,, ,AKC
V040131,2016-09-11 12:40:00,AKC/Luma 2,BORGERHOUT/GW 2,,,, ,AKC
V040041,2016-09-11 14:00:00,AKC/Luma RES,BORGERHOUT/GW RES,,,, ,AKC
V040002,2016-09-11 15:30:00,AKC/Luma,BORGERHOUT/GW,,,Tina Van Grimberge, ,AKC
V050210,2016-09-17 17:30:00,MEEUWEN 3,AKC/Luma 4,,,, ,Meeuwen
V050200,2016-09-18 10:00:00,ASKC 3,AKC/Luma 3,,,, ,ASKC
V050273,2016-09-18 10:00:00,kWIK 5,AKC/Luma 5,,,, ,Kwik
V050130,2016-09-18 12:40:00,BOECKENBERG 2,AKC/Luma 2,,,, ,Boeckenberg - Sportcenter
V050040,2016-09-18 14:00:00,BOECKENBERG RES,AKC/Luma RES,,,, ,Boeckenberg - Sportcenter
V050001,2016-09-18 15:30:00,BOECKENBERG,AKC/Luma,,,Jan Nelen, ,Boeckenberg - Sportcenter
V060133,2016-09-25 00:00:00,AKC/Luma 2,VRIJ,,,, ,
V060201,2016-09-25 10:00:00,AKC/Luma 3,VOORWAARTS 3,,,, ,AKC
V060274,2016-09-25 10:00:00,AKC/Luma 5,DEURNE 3,,,, ,AKC
V060211,2016-09-25 11:00:00,AKC/Luma 4,SCALDIS 3,,,, ,AKC
V060043,2016-09-25 14:00:00,AKC/Luma RES,SCALDIS RES,,,, ,AKC
V060004,2016-09-25 15:30:00,AKC/Luma,SCALDIS,,,Thierry Vangoidsenhoven, ,AKC
V070271,2016-10-02 00:00:00,VRIJ,AKC/Luma 5,,,, ,
V070210,2016-10-02 09:45:00,VOORWAARTS 4,AKC/Luma 4,,,, ,Voorwaarts
V070200,2016-10-02 10:00:00,BOECKENBERG 3,AKC/Luma 3,,,, ,Boeckenberg - Sportcenter
V070132,2016-10-02 12:40:00,MEEUWEN 2,AKC/Luma 2,,,, ,Meeuwen
V070042,2016-10-02 14:00:00,MEEUWEN RES,AKC/Luma RES,,,Jeff Robert, ,Meeuwen
