nummer,datum,thuisploeg,bezoekers,aantal_thuis,aantal_bezoekers,scheidsrechter,jury,locatie
V010142,2016-08-21 12:40:00,SIKOPI 2,ASKC 2,11 ,11,, ,Sikopi
V010052,2016-08-21 14:00:00,SIKOPI RES,ASKC RES,17 ,8,, ,Sikopi
V010032,2016-08-21 15:30:00,SIKOPI,ASKC,29 ,10,, ,Sikopi
V020141,2016-08-28 12:40:00,ASKC 2,VOORWAARTS 2,5 ,13,, ,ASKC
V020031,2016-08-28 14:00:00,ASKC,VOORWAARTS,10 ,21,, ,ASKC
V020051,2016-08-28 15:30:00,ASKC RES,VOORWAARTS RES,4 ,18,, ,ASKC
V030202,2016-09-04 10:00:00,BOECKENBERG 3,ASKC 3,8 ,13,, ,Boeckenberg - Sportcenter
V030232,2016-09-04 10:45:00,SIKOPI 3,ASKC 4,9 ,7,, ,Sikopi
V030140,2016-09-04 12:40:00,ASKC 2,LEUVEN 2,6 ,7,, ,ASKC
V030030,2016-09-04 14:00:00,ASKC,LEUVEN,10 ,17,, ,ASKC
V030050,2016-09-04 15:30:00,ASKC RES,LEUVEN RES,9 ,7,, ,ASKC
V040201,2016-09-11 10:00:00,ASKC 3,VOORWAARTS 3,,,, ,ASKC
V040231,2016-09-11 11:00:00,ASKC 4,BORGERHOUT/GW 5,,,, ,ASKC
V040142,2016-09-11 12:40:00,PUTSE 2,ASKC 2,,,, ,Putse
V040052,2016-09-11 14:00:00,PUTSE RES,ASKC RES,,,, ,Putse
V040032,2016-09-11 15:30:00,PUTSE,ASKC,,,Inge Bekaert, ,Putse
V050200,2016-09-18 10:00:00,ASKC 3,AKC/Luma 3,,,, ,ASKC
V050230,2016-09-18 10:15:00,ASKC 4,Hoboken/Mercurius 4,,,, ,ASKC
V050141,2016-09-18 12:40:00,ASKC 2,RIVIERA 2,,,, ,ASKC
V050031,2016-09-18 14:00:00,ASKC,RIVIERA,,,Hans Van Hellemont, ,ASKC
V050051,2016-09-18 15:30:00,ASKC RES,RIVIERA RES,,,Jorden Verest, ,ASKC
V060202,2016-09-25 10:00:00,ASKC 3,BORGERHOUT/GW 3,,,, ,ASKC
V060232,2016-09-25 11:00:00,CATBA 4,ASKC 4,,,, ,Catba
V060142,2016-09-25 12:40:00,VOBAKO 2,ASKC 2,,,, ,Vobako
V060052,2016-09-25 14:00:00,VOBAKO RES,ASKC RES,,,, ,Vobako
V060032,2016-09-25 15:30:00,VOBAKO,ASKC,,,Robin De Backer, ,Vobako
V070143,2016-10-01 17:30:00,TEMSE 2,ASKC 2,,,, ,Temse
V070053,2016-10-01 18:45:00,TEMSE RES,ASKC RES,,,, ,Temse
V070033,2016-10-01 20:30:00,TEMSE,ASKC,,,Jan Nelen, ,Temse
V070201,2016-10-02 10:00:00,ASKC 3,RIVIERA 3,,,, ,ASKC
V070231,2016-10-02 10:45:00,ASKC 4,GANDA 4,,,, ,ASKC
