nummer,datum,thuisploeg,bezoekers,aantal_thuis,aantal_bezoekers,scheidsrechter,jury,locatie
V030213,2016-09-04 11:00:00,HOEVENEN 3,CATBA 3,6 ,10,, ,Hoevenen
V030233,2016-09-04 12:00:00,HOVE 2,CATBA 4,11 ,12,, ,Hove
V030151,2016-09-04 12:40:00,APPELS 2,CATBA 2,6 ,18,, ,Appels
V030101,2016-09-04 14:00:00,APPELS RES,CATBA RES,9 ,6,, ,Appels
V030061,2016-09-04 15:30:00,APPELS,CATBA,14 ,20,, ,Appels
V040151,2016-09-11 00:00:00,VRIJ,CATBA 2,,,, ,
V040210,2016-09-11 09:45:00,CATBA 3,VOORWAARTS 4,,,, ,Catba
V040230,2016-09-11 11:00:00,CATBA 4,SIKOPI 3,,,, ,Catba
V040101,2016-09-11 14:00:00,KCBJ RES,CATBA RES,,,Jorden Verest, ,KCBJ
V040061,2016-09-11 15:30:00,KCBJ,CATBA,,,Hans Van Hellemont, ,KCBJ
V050233,2016-09-18 10:45:00,BORGERHOUT/GW 5,CATBA 4,,,, ,Borgerhout/GW
V050213,2016-09-18 12:30:00,SCALDIS 3,CATBA 3,,,, ,Scaldis
V050153,2016-09-18 12:40:00,CATBA 2,SPARTACUS 2,,,, ,Catba
V050103,2016-09-18 14:00:00,CATBA RES,SPARTACUS RES,,,, ,Catba
V050063,2016-09-18 15:30:00,CATBA,SPARTACUS,,,Thierry Vangoidsenhoven, ,Catba
V060212,2016-09-25 09:45:00,CATBA 3,MEEUWEN 3,,,, ,Catba
V060232,2016-09-25 11:00:00,CATBA 4,ASKC 4,,,, ,Catba
V060151,2016-09-25 12:40:00,Hoboken/Mercurius 2,CATBA 2,,,, ,Hoboken 2000
V060101,2016-09-25 14:00:00,Hoboken/Mercurius res,CATBA RES,,,, ,Hoboken 2000
V060061,2016-09-25 15:30:00,Hoboken/Mercurius,CATBA,,,Vincent Van der Beken, ,Hoboken 2000
V070233,2016-10-02 00:00:00,CATBA 4,VRIJ,,,, ,
V070213,2016-10-02 09:45:00,CATBA 3,KWIK 3,,,, ,Catba
V070152,2016-10-02 12:40:00,CATBA 2,RIJKO 2,,,, ,Catba
