nummer,datum,thuisploeg,bezoekers,aantal_thuis,aantal_bezoekers,scheidsrechter,jury,locatie
V010130,2016-08-21 12:40:00,FLORIANT 2,AKC/Luma 2,10 ,11,, ,Floriant
V010040,2016-08-21 14:00:00,FLORIANT RES,AKC/Luma RES,7 ,20,, ,Floriant
V010001,2016-08-21 15:30:00,FLORIANT,AKC/Luma,19 ,16,, ,Floriant
V020132,2016-08-28 12:40:00,MEEUWEN 2,FLORIANT 2,12 ,4,, ,Meeuwen
V020042,2016-08-28 14:00:00,MEEUWEN RES,FLORIANT RES,12 ,7,, ,Meeuwen
V020003,2016-08-28 15:30:00,MEEUWEN,FLORIANT,9 ,18,, ,Meeuwen
V030251,2016-09-04 10:00:00,FLORIANT 4,VOBAKO 3,6 ,11,, ,Floriant
V030210,2016-09-04 11:30:00,FLORIANT 3,AKC/Luma 4,12 ,5,, ,Floriant
V030131,2016-09-04 12:40:00,BOECKENBERG 2,FLORIANT 2,8 ,15,, ,Boeckenberg - Sportcenter
V030041,2016-09-04 14:00:00,BOECKENBERG RES,FLORIANT RES,3 ,12,, ,Boeckenberg - Sportcenter
V030002,2016-09-04 15:30:00,BOECKENBERG,FLORIANT,17 ,12,, ,Boeckenberg - Sportcenter
V040133,2016-09-11 00:00:00,FLORIANT 2,VRIJ,,,, ,
V040252,2016-09-11 09:30:00,PUTSE 4,FLORIANT 4,,,, ,Putse
V040212,2016-09-11 11:30:00,FLORIANT 3,HOEVENEN 3,,,, ,Floriant
V040043,2016-09-11 14:00:00,FLORIANT RES,KWIK RES,,,, ,Floriant
V040004,2016-09-11 15:30:00,FLORIANT,KWIK,,,Tom Goddefroy, ,Floriant
V050211,2016-09-18 09:45:00,VOORWAARTS 4,FLORIANT 3,,,, ,Voorwaarts
V050252,2016-09-18 11:00:00,MEEUWEN 4,FLORIANT 4,,,, ,Meeuwen
V050131,2016-09-18 12:40:00,MINERVA 2,FLORIANT 2,,,, ,Minerva
V050041,2016-09-18 14:00:00,MINERVA RES,FLORIANT RES,,,, ,Minerva
V050002,2016-09-18 15:30:00,MINERVA,FLORIANT,,,Inge Bekaert, ,Minerva
V060251,2016-09-25 10:00:00,FLORIANT 4,DEURNE 2,,,, ,Floriant
V060213,2016-09-25 11:30:00,FLORIANT 3,KWIK 3,,,, ,Floriant
V060131,2016-09-25 12:40:00,FLORIANT 2,BORGERHOUT/GW 2,,,, ,Floriant
V060041,2016-09-25 14:00:00,FLORIANT RES,BORGERHOUT/GW RES,,,Jorden Verest, ,Floriant
V060002,2016-09-25 15:30:00,FLORIANT,BORGERHOUT/GW,,,Hans Van Hellemont, ,Floriant
V070211,2016-10-01 17:30:00,MEEUWEN 3,FLORIANT 3,,,, ,Meeuwen
V070131,2016-10-02 00:00:00,FLORIANT 2,VRIJ,,,, ,
V070250,2016-10-02 10:00:00,FLORIANT 4,VOORWAARTS 6,,,, ,Floriant
V070041,2016-10-02 14:00:00,FLORIANT RES,SCALDIS RES,,,, ,Floriant
V070002,2016-10-02 15:30:00,FLORIANT,SCALDIS,,,Kris Meeus, ,Floriant
V080251,2016-10-09 10:00:00,FLORIANT 4,ATBS 2,,,, ,Floriant
V080211,2016-10-09 11:30:00,FLORIANT 3,SCALDIS 3,,,, ,Floriant
V080130,2016-10-09 12:40:00,AKC/Luma 2,FLORIANT 2,,,, ,AKC
V080040,2016-10-09 14:00:00,AKC/Luma RES,FLORIANT RES,,,, ,AKC
V080001,2016-10-09 15:30:00,AKC/Luma,FLORIANT,,,, ,AKC
