nummer,datum,thuisploeg,bezoekers,aantal_thuis,aantal_bezoekers,scheidsrechter,jury,locatie
V030263,2016-09-04 09:45:00,Hoboken/Mercurius 5,KWIK 4,12 ,11,, ,Hoboken 2000
V030230,2016-09-04 10:00:00,GANDA 4,Hoboken/Mercurius 4,6 ,8,, ,Ganda
V030150,2016-09-04 12:40:00,GANDA 2,Hoboken/Mercurius 2,16 ,5,, ,Ganda
V030100,2016-09-04 14:00:00,GANDA RES,Hoboken/Mercurius res,14 ,8,, ,Ganda
V030090,2016-09-04 15:30:00,BORNEM,Hoboken/Mercurius 3,12 ,7,, ,Bornem
V030060,2016-09-04 15:30:00,GANDA,Hoboken/Mercurius,11 ,12,, ,Ganda
V040233,2016-09-11 00:00:00,Hoboken/Mercurius 4,VRIJ,,,, ,
V040263,2016-09-11 10:45:00,RIVIERA 4,Hoboken/Mercurius 5,,,, ,Riviera
V040093,2016-09-11 12:40:00,Hoboken/Mercurius 3,KAPELLEN 2,,,Robert Hansens, ,Hoboken 2000
V040153,2016-09-11 12:40:00,Hoboken/Mercurius 2,APPELS 2,,,, ,Hoboken 2000
V040103,2016-09-11 14:00:00,Hoboken/Mercurius res,APPELS RES,,,, ,Hoboken 2000
V040063,2016-09-11 15:30:00,Hoboken/Mercurius,APPELS,,,Dave Mertens, ,Hoboken 2000
V050150,2016-09-18 00:00:00,VRIJ,Hoboken/Mercurius 2,,,, ,
V050263,2016-09-18 09:45:00,Hoboken/Mercurius 5,SPARTA RANST 2,,,, ,Hoboken 2000
V050230,2016-09-18 10:15:00,ASKC 4,Hoboken/Mercurius 4,,,, ,ASKC
V050100,2016-09-18 14:00:00,KCBJ RES,Hoboken/Mercurius res,,,, ,KCBJ
V050090,2016-09-18 15:30:00,VOSKO,Hoboken/Mercurius 3,,,Jacques Ceurvelts, ,Vosko
V050060,2016-09-18 15:30:00,KCBJ,Hoboken/Mercurius,,,Tina Van Grimberge, ,KCBJ
V060263,2016-09-25 00:00:00,Hoboken/Mercurius 5,VRIJ,,,, ,
V060231,2016-09-25 10:45:00,Hoboken/Mercurius 4,BORGERHOUT/GW 5,,,, ,Hoboken 2000
V060091,2016-09-25 12:40:00,Hoboken/Mercurius 3,HOEVENEN 2,,,Dirk D'hollander, ,Hoboken 2000
