nummer,datum,thuisploeg,bezoekers,aantal_thuis,aantal_bezoekers,scheidsrechter,jury,locatie
V030253,2016-09-03 17:30:00,TEMSE 4,KCBJ 2,9 ,11,, ,Temse
V030273,2016-09-04 11:00:00,kWIK 5,KCBJ 3,13 ,2,, ,Kwik
V030062,2016-09-04 14:15:00,VERDE,KCBJ,15 ,13,, ,Verde
V030102,2016-09-04 15:45:00,VERDE RES,KCBJ RES,9 ,7,, ,Verde
V040254,2016-09-11 10:00:00,KCBJ 2,DEURNE 2,,,, ,KCBJ
V040274,2016-09-11 11:00:00,KCBJ 3,HOEVENEN 4,,,, ,KCBJ
V040101,2016-09-11 14:00:00,KCBJ RES,CATBA RES,,,Jorden Verest, ,KCBJ
V040061,2016-09-11 15:30:00,KCBJ,CATBA,,,Hans Van Hellemont, ,KCBJ
V050250,2016-09-18 10:00:00,KCBJ 2,VOORWAARTS 6,,,, ,KCBJ
V050270,2016-09-18 11:00:00,DEURNE 3,KCBJ 3,,,, ,Deurne
V050100,2016-09-18 14:00:00,KCBJ RES,Hoboken/Mercurius res,,,, ,KCBJ
V050060,2016-09-18 15:30:00,KCBJ,Hoboken/Mercurius,,,Tina Van Grimberge, ,KCBJ
V060252,2016-09-25 10:00:00,KCBJ 2,ATBS 2,,,, ,KCBJ
V060272,2016-09-25 11:00:00,VOORWAARTS 7,KCBJ 3,,,, ,Voorwaarts
V060062,2016-09-25 14:30:00,SPARTACUS,KCBJ,,,Stef Cleyman, ,Spartacus
V060102,2016-09-25 16:00:00,SPARTACUS RES,KCBJ RES,,,Andre Van den Berge, ,Spartacus
V070272,2016-10-02 10:00:00,MINERVA 4,KCBJ 3,,,, ,Minerva
V070252,2016-10-02 11:00:00,MEEUWEN 4,KCBJ 2,,,, ,Meeuwen
V070101,2016-10-02 14:00:00,KCBJ RES,GANDA RES,,,, ,KCBJ
V070061,2016-10-02 15:30:00,KCBJ,GANDA,,,Inge Bekaert, ,KCBJ
V080102,2016-10-08 19:00:00,RIJKO RES,KCBJ RES,,,, ,Rijko
V080062,2016-10-08 20:30:00,RIJKO,KCBJ,,,, ,Rijko
V080252,2016-10-09 00:00:00,KCBJ 2,VRIJ,,,, ,
V080272,2016-10-09 00:00:00,KCBJ 3,VRIJ,,,, ,
