nummer,datum,thuisploeg,bezoekers,aantal_thuis,aantal_bezoekers,scheidsrechter,jury,locatie
V030153,2016-09-03 17:30:00,RIJKO 2,SPARTACUS 2,3 ,11,, ,Rijko
V030103,2016-09-03 19:00:00,RIJKO RES,SPARTACUS RES,10 ,9,, ,Rijko
V030063,2016-09-03 20:30:00,RIJKO,SPARTACUS,9 ,11,, ,Rijko
V030262,2016-09-04 10:45:00,SPARTACUS 4,SPARTA RANST 2,5 ,8,, ,Spartacus
V040261,2016-09-11 12:40:00,KCOV 2,SPARTACUS 4,,,, ,KCOV
V040150,2016-09-11 12:40:00,SPARTACUS 2,VERDE 2,,,, ,Spartacus
V040060,2016-09-11 14:30:00,SPARTACUS,VERDE,,,Bjorn Elewaut, ,Spartacus
V040100,2016-09-11 16:00:00,SPARTACUS RES,VERDE RES,,,Francçois Heyrman, ,Spartacus
V050262,2016-09-18 10:45:00,SPARTACUS 4,BEVEREN_WAAS,,,, ,Spartacus
V050153,2016-09-18 12:40:00,CATBA 2,SPARTACUS 2,,,, ,Catba
V050103,2016-09-18 14:00:00,CATBA RES,SPARTACUS RES,,,, ,Catba
V050063,2016-09-18 15:30:00,CATBA,SPARTACUS,,,Thierry Vangoidsenhoven, ,Catba
V060152,2016-09-25 00:00:00,SPARTACUS 2,VRIJ,,,, ,
V060260,2016-09-25 10:45:00,RIVIERA 4,SPARTACUS 4,,,, ,Riviera
V060062,2016-09-25 14:30:00,SPARTACUS,KCBJ,,,Stef Cleyman, ,Spartacus
V060102,2016-09-25 16:00:00,SPARTACUS RES,KCBJ RES,,,Andre Van den Berge, ,Spartacus
V070262,2016-10-02 10:45:00,SPARTACUS 4,KWIK 4,,,, ,Spartacus
V070153,2016-10-02 12:40:00,SPARTACUS 2,APPELS 2,,,, ,Spartacus
V070063,2016-10-02 14:30:00,SPARTACUS,APPELS,,,Dave Mertens, ,Spartacus
V070103,2016-10-02 16:00:00,SPARTACUS RES,APPELS RES,,,, ,Spartacus
V080264,2016-10-09 09:45:00,SIKOPI 4,SPARTACUS 4,,,, ,Sikopi
V080153,2016-10-09 12:40:00,Hoboken/Mercurius 2,SPARTACUS 2,,,, ,Hoboken 2000
V080103,2016-10-09 14:00:00,Hoboken/Mercurius res,SPARTACUS RES,,,, ,Hoboken 2000
V080063,2016-10-09 15:30:00,Hoboken/Mercurius,SPARTACUS,,,, ,Hoboken 2000
V090262,2016-10-16 10:45:00,SPARTACUS 4,Hoboken/Mercurius 5,,,, ,Spartacus
