nummer,datum,thuisploeg,bezoekers,aantal_thuis,aantal_bezoekers,scheidsrechter,jury,locatie
V010141,2016-08-20 17:30:00,TEMSE 2,VOORWAARTS 2,16 ,12,, ,Temse
V010051,2016-08-20 18:45:00,TEMSE RES,VOORWAARTS RES,7 ,15,, ,Temse
V010031,2016-08-20 20:30:00,TEMSE,VOORWAARTS,13 ,19,, ,Temse
V020141,2016-08-28 12:40:00,ASKC 2,VOORWAARTS 2,5 ,13,, ,ASKC
V020031,2016-08-28 14:00:00,ASKC,VOORWAARTS,10 ,21,, ,ASKC
V020051,2016-08-28 15:30:00,ASKC RES,VOORWAARTS RES,4 ,18,, ,ASKC
V030250,2016-09-04 09:45:00,VOORWAARTS 6,ATBS 2,10 ,9,, ,Voorwaarts
V030212,2016-09-04 09:45:00,VOORWAARTS 4,MEEUWEN 3,8 ,9,, ,Voorwaarts
V030222,2016-09-04 11:00:00,VOORWAARTS 5,MINERVA 3,15 ,10,, ,Voorwaarts
V030270,2016-09-04 11:00:00,VOORWAARTS 7,DEURNE 3,10 ,11,, ,Voorwaarts
V030143,2016-09-04 12:40:00,VOORWAARTS 2,PUTSE 2,10 ,12,, ,Voorwaarts
V030053,2016-09-04 14:00:00,VOORWAARTS RES,PUTSE RES,16 ,9,, ,Voorwaarts
V030033,2016-09-04 15:30:00,VOORWAARTS,PUTSE,19 ,11,, ,Voorwaarts
V040220,2016-09-10 16:00:00,PUTSE 5,VOORWAARTS 5,,,, ,Putse
V040250,2016-09-11 00:00:00,VRIJ,VOORWAARTS 6,,,, ,
V040210,2016-09-11 09:45:00,CATBA 3,VOORWAARTS 4,,,, ,Catba
V040201,2016-09-11 10:00:00,ASKC 3,VOORWAARTS 3,,,, ,ASKC
V040271,2016-09-11 10:00:00,MINERVA 4,VOORWAARTS 7,,,, ,Minerva
V040141,2016-09-11 12:40:00,LEUVEN 2,VOORWAARTS 2,,,, ,Leuven
V040051,2016-09-11 14:00:00,LEUVEN RES,VOORWAARTS RES,,,, ,Leuven
V040031,2016-09-11 15:30:00,LEUVEN,VOORWAARTS,,,Ben Morel, ,Leuven
V050271,2016-09-18 00:00:00,VOORWAARTS 7,VRIJ,,,, ,
V050211,2016-09-18 09:45:00,VOORWAARTS 4,FLORIANT 3,,,, ,Voorwaarts
V050250,2016-09-18 10:00:00,KCBJ 2,VOORWAARTS 6,,,, ,KCBJ
V050221,2016-09-18 11:00:00,VOORWAARTS 5,GANDA 3,,,, ,Voorwaarts
V050203,2016-09-18 11:00:00,BORGERHOUT/GW 3,VOORWAARTS 3,,,, ,Borgerhout/GW
V050142,2016-09-18 12:40:00,VOORWAARTS 2,VOBAKO 2,,,, ,Voorwaarts
V050052,2016-09-18 14:00:00,VOORWAARTS RES,VOBAKO RES,,,, ,Voorwaarts
V050032,2016-09-18 15:30:00,VOORWAARTS,VOBAKO,,,Miguel Wensma, ,Voorwaarts
V060220,2016-09-24 16:00:00,TEMSE 3,VOORWAARTS 5,,,, ,Temse
V060254,2016-09-25 09:30:00,VOORWAARTS 6,PUTSE 4,,,, ,Voorwaarts
V060201,2016-09-25 10:00:00,AKC/Luma 3,VOORWAARTS 3,,,, ,AKC
V060210,2016-09-25 11:00:00,HOEVENEN 3,VOORWAARTS 4,,,, ,Hoevenen
V060272,2016-09-25 11:00:00,VOORWAARTS 7,KCBJ 3,,,, ,Voorwaarts
V060141,2016-09-25 12:40:00,RIVIERA 2,VOORWAARTS 2,,,, ,Riviera
V060051,2016-09-25 14:00:00,RIVIERA RES,VOORWAARTS RES,,,, ,Riviera
V060031,2016-09-25 15:30:00,RIVIERA,VOORWAARTS,,,Jan Nelen, ,Riviera
V070210,2016-10-02 09:45:00,VOORWAARTS 4,AKC/Luma 4,,,, ,Voorwaarts
V070202,2016-10-02 09:45:00,VOORWAARTS 3,VERDE 3,,,, ,Voorwaarts
V070250,2016-10-02 10:00:00,FLORIANT 4,VOORWAARTS 6,,,, ,Floriant
V070220,2016-10-02 11:00:00,VOORWAARTS 5,RIJKO 3,,,, ,Voorwaarts
